id,student_id,course_id,enrollment_date,status,final_grade
1,1,107,2023-12-25,completed,B
2,2,42,2025-09-02,active,
3,2,120,2023-09-25,dropped,
4,3,33,2023-01-25,completed,C
5,4,81,2025-01-01,active,
6,4,39,2023-12-24,completed,C
7,5,22,2025-07-05,dropped,
8,5,85,2023-02-11,completed,E
9,6,106,2024-09-06,completed,E
10,7,84,2025-08-26,active,
11,7,27,2024-06-17,completed,D
12,7,99,2025-07-02,active,
13,8,62,2025-06-28,active,
14,8,32,2025-04-07,active,
15,8,104,2023-10-15,completed,B
16,9,27,2024-05-28,dropped,
17,9,44,2023-03-09,completed,D
18,9,78,2025-05-04,active,
19,9,19,2025-07-11,active,
20,10,41,2024-10-08,active,
21,11,58,2024-01-05,completed,E
22,11,32,2025-04-17,active,
23,11,19,2025-06-28,dropped,
24,12,25,2025-12-16,dropped,
25,12,98,2024-08-27,completed,B
26,12,21,2023-10-17,completed,B
27,13,31,2023-05-13,completed,B
28,13,28,2025-06-11,active,
29,13,75,2022-12-30,completed,D
30,13,46,2023-03-23,completed,B
31,14,98,2024-07-31,completed,C
32,14,52,2024-10-19,completed,B
33,14,47,2025-08-26,active,
34,15,106,2024-10-14,completed,F
35,15,80,2024-05-05,completed,F
36,15,88,2025-08-14,dropped,
37,16,26,2023-04-25,completed,A
38,16,78,2025-04-11,active,
39,17,103,2025-01-19,active,
40,17,61,2023-11-14,completed,E
41,17,67,2023-04-07,completed,F
42,18,76,2023-11-05,completed,C
43,18,44,2023-03-08,completed,A
44,18,65,2025-06-12,active,
45,19,75,2023-01-27,dropped,
46,19,40,2025-10-18,active,
47,19,102,2025-06-16,active,
48,19,116,2023-05-26,active,
49,20,93,2023-09-19,completed,B
50,20,7,2025-06-09,active,
51,21,19,2025-06-20,active,
52,21,106,2024-10-19,completed,A
53,21,88,2025-07-30,active,
54,21,32,2025-04-04,active,
55,22,65,2025-06-21,dropped,
56,22,100,2025-06-26,dropped,
57,22,79,2025-11-04,active,
58,22,118,2024-09-24,completed,F
59,23,68,2025-11-21,dropped,
60,23,49,2024-05-13,completed,C
61,23,41,2024-11-08,completed,D
62,23,23,2025-04-14,active,
63,24,32,2025-04-13,active,
64,24,36,2024-11-15,active,
65,25,89,2023-05-11,completed,B
66,25,91,2025-12-11,dropped,
67,26,16,2024-09-28,completed,F
68,26,74,2025-08-17,dropped,
69,26,87,2023-03-11,completed,B
70,27,45,2023-07-02,completed,C
71,28,26,2023-04-27,completed,C
72,28,106,2024-09-22,completed,C
73,29,32,2025-04-20,dropped,
74,29,7,2025-05-08,active,
75,30,13,2025-09-10,active,
76,31,13,2025-08-15,dropped,
77,31,88,2025-07-20,active,
78,31,99,2025-06-28,active,
79,31,18,2023-02-14,active,
80,32,42,2025-07-22,dropped,
81,32,37,2023-07-28,completed,A
82,32,83,2025-11-22,dropped,
83,33,117,2025-04-02,active,
84,34,120,2023-08-25,dropped,
85,34,118,2024-10-06,active,
86,35,120,2023-09-10,dropped,
87,35,96,2025-04-19,active,
88,36,119,2025-11-16,active,
89,37,114,2025-10-07,active,
90,37,18,2023-02-09,completed,C
91,37,109,2024-08-18,completed,A
92,37,65,2025-07-08,active,
93,38,73,2024-10-30,active,
94,38,87,2023-04-11,dropped,
95,38,97,2024-08-21,completed,A
96,39,24,2025-05-08,active,
97,40,1,2025-06-21,active,
98,40,34,2025-01-29,active,
99,41,39,2023-12-28,completed,C
100,41,75,2023-01-25,completed,C
101,41,93,2023-09-11,completed,B
102,42,89,2023-04-28,completed,A
103,42,16,2024-09-02,completed,B
104,42,82,2023-07-03,completed,C
105,43,97,2024-08-07,active,
106,43,69,2024-07-25,active,
107,43,103,2025-02-09,active,
